Inspection / Maintenance Item,,Yes,No,N/A,Comments
2. Piping,,,,,
(A) Condition of Pipe and Paint,,,,,
,Are aboveground pipes properly painted?,:unselected:,:unselected:,:unselected:,
,"Are pipes free of corrosion damage, dents, gouges or other damage?",:unselected:,:unselected:,:unselected:,
,Are pipes adequately supported?,:unselected:,:unselected:,:unselected:,
,Are pipes adequately protected against physical damage by vehicles?,:unselected:,:unselected:,:unselected:,
,"Are pipes properly marked ""vapor"" or ""liquid"" or color coded accordingly?",:unselected:,:unselected:,:unselected:,
(B) Pipe Fittings,,,,,
,"Are all flanges and fittings properly sized for the pressure rating, equal to or greater than the maximum allowable working pressure of the system?",:unselected:,:unselected:,:unselected:,
,"Are all stainless steel flex connectors in good working condition (i.e., reinforcement braid is not damaged)?",:unselected:,:unselected:,:unselected:,
,Are all flow indicators and sight checks in proper working condition and leak-free?,:unselected:,:unselected:,:unselected:,
,Are all fittings and pipes leak-free?,:unselected:,:unselected:,:unselected:,
(C) Hydrostatic Relief Valves,,,,,
,Are hydrostatic relief valves installed in each section of piping in which liquid can be isolated between shut-off valves?,:unselected:,:unselected:,:unselected:,
,Are hydrostatic relief valves approved for use with LP-Gas?,:unselected:,:unselected:,:unselected:,
,Do the hydrostatic relief valves have pressure settings between 400 - 500 psig?,:unselected:,:unselected:,:unselected:,
(D) Piping - Manual Shut-off Valves,,,,,
,Are valves located so that they can be easily reached during normal operations and in an emergency?,:unselected:,:unselected:,:unselected:,
,Are valves in good condition and leak-free?,:unselected:,:unselected:,:unselected:,
,"Do valves have the proper pressure rating, equal to or greater than the maximum allowable working pressure of the system?",:unselected:,:unselected:,:unselected:,
(E) Underground Piping,,,,,
,Is metallic underground piping protected against corrosion by at least one of the following means:,,,,
,a.) An external coating on piping?,:unselected:,:unselected:,:unselected:,
,b.) Cathodic protection?,:unselected:,:unselected:,:unselected:,
