Inspection / Maintenance Item,Yes,No,N/A,Comments
6. Tank Car Unloading Tower,,,,
(A) Tower Foundations,,,,
Are foundations in good condition?,:unselected:,:unselected:,:unselected:,
(B) Tower- Piping and Fittings,,,,
Are all flanges and fittings properly sized for the pressure rating equal to or greater than the maximum allowable working pressure of the system?,:unselected:,:unselected:,:unselected:,
"Are all stainless steel flex connectors in good working condition (i.e., reinforcement braid is not damaged)?",:unselected:,:unselected:,:unselected:,
Are all flow indicators and sight checks in proper working condition and leak free?,:unselected:,:unselected:,:unselected:,
Are hydrostatic relief valves installed in the appropriate location and in good working condition?,:unselected:,:unselected:,:unselected:,
Are all fittings and pipes leak-free?,:unselected:,:unselected:,:unselected:,
(C) Towers - Emergency Shut-off Valves (ESVs),,,,
Are ESVs in good working condition and leak-free?,:unselected:,:unselected:,:unselected:,
Are ESVs and/or back checks (including thermal release) on riser ends of the liquid hoses in good working condition?,:unselected:,:unselected:,:unselected:,
Are ESVS on riser ends of the vapor hose (including thermal release) in good working condition?,:unselected:,:unselected:,:unselected:,
Has an annual test been performed and documented as required by NFPA 58?,:unselected:,:unselected:,:unselected:,
Is the pneumatic control system in good working condition and free of leaks?,:unselected:,:unselected:,:unselected:,
Are remote emergency shutoff devices between 25 and 100 feet from the ESV and within the path of egress?,:unselected:,:unselected:,:unselected:,
