Handbook Section,Page #
Preface,
Notice and Disclaimer Concerning Liability,i
Acknowledgements,ii
User Feedback Response Form,iii
Propane Education & Research Council - Industry Feedback Form,iv
Section 1 - Introduction,1
""" Background and Purpose",1
Scope of Handbook,2
""" Using This Handbook",3
Accessibility and Review,4
Section 2 - General Facility Information,5
Section 3 - Emergency Procedures Plan,6
""" General Fire Protection Requirements",6
""" When Is It and When Is It Not an Emergency?",7
""" Emergency Equipment Information",8
""" Material Safety Data Sheet (Appendix 3.1)",12
Sample Site Plan (Appendix 3.2),20
Section 4 - General Operations and Safety Requirements,21
""" Site Accessibility",21
Site Signage and Markings,21
Control of Combustible Materials and Ignition Sources,21
""" Containers - General Requirements",25
""" Container Filling",27
General Requirements for LP-Gas Transfer Operations,28
