Section 5 - Plant Operations Procedures,,30
5.1 - Bulk Plant Operating Procedures,,31
5.1.1 - Bulk Storage Containers,,31
5.1.2 - Loading a CTMV Using a Plant Pump,,32
5.1.3 - Loading a CTMV Using a Plant Compressor,,36
5.1.4 - Unloading a CTMV,,41
5.1.5 - Unloading a Propane Railcar Using a Plant Compressor,,45
5.1.6 - Preparation and Transportation of DOT Cylinders,,55
5.1.7 - Preparation and Transportation of ASME Containers,,63
5.1.7.1 - Tank Inspection and Preparation at Bulk Plant,,63
5.1.7.2 - Loading of ASME Containers to be Transported,,66
5.1.7.3 - DOT Regulations: Transporting ASME Containers,,68
5.1.8 - Evacuation of Containers,,71
5.1.8.1 - DOT Cylinders,,71
5.1.8.2 - ASME Containers,,76
5.1.9 - Purging of Containers,,84
5.1.10 - Dispensing of LP-Gas,,88
5.2 - Vapor Distribution Systems,,97
Section 6 - General Maintenance and Inspection Requirements,,99
""" Manuals, Procedures and Record Keeping",,99
Maintenance Personnel - Training,,100
Physical Protection of Equipment,,100
Corrosion Control,,100
"""",Underground and Mounded Containers,100
""" Containers and Appurtenances",,101
Emergency Shutoff Valves,,102
Hose Inspection and Maintenance,,102
Preventive Maintenance Records (Chart 6.1),,103
Fixed Equipment Log (Chart 6.2),,104
""" ESV and Back Check Valve Testing Log (Chart 6.3)",,105
Section 7 - Maintenance and Inspection Checklist Procedure,,106
,Area 1 - Bulk Storage Containers,108
""" Area 2 - Piping",,112
"""",Area 3 - Liquid Pump,113
,Area 4 - Bulkheads,115
"""",Area 5 - Vapor Compressor,117
,Area 6 - Tank Car Unloading Tower,119
D Area 7 - Scales,,121
,Area 8 - Meters (for retail sales only),122
· Area 9 - Vaporizers,,123
· Area 10 - Regulators,,123
""" Area 11 - Electrical Systems",,124
Checklist Guidelines (Appendix 7.1),,125
